iter	RMSE
0	9.179486697
1	8.987367133
2	8.810890766
3	8.631083793
4	8.472523924
5	8.321162277
6	8.175422391
7	8.054121367
8	7.944098879
9	7.84385793
10	7.749536306
11	7.66773631
12	7.577322221
13	7.5076611
14	7.444168079
15	7.386275506
16	7.330363435
17	7.27129229
18	7.220743187
19	7.181622992
20	7.14692999
21	7.112330074
22	7.076250317
23	7.048832085
24	7.014511062
25	6.995261854
26	6.976105292
27	6.9491734
28	6.934474743
29	6.91409793
30	6.894751363
31	6.880953553
32	6.86202351
33	6.852019745
34	6.836367742
35	6.82795785
36	6.818938182
37	6.808213568
38	6.801081886
39	6.791584537
40	6.782323709
41	6.776290557
42	6.772217984
43	6.76667253
44	6.76084564
45	6.756664787
46	6.751293841
47	6.746231089
48	6.743147676
49	6.739829023
50	6.73737348
51	6.733472084
52	6.730161365
53	6.727637263
54	6.724725745
55	6.721967835
56	6.718444146
57	6.717054481
58	6.714416449
59	6.712086771
60	6.711178964
61	6.710161027
62	6.708352898
63	6.706998041
64	6.705162055
65	6.702481119
66	6.701175252
67	6.700137615
68	6.699249866
69	6.697983253
70	6.695137442
71	6.693742144
72	6.692596151
73	6.691999652
74	6.689816034
75	6.687533767
76	6.686082372
77	6.685495434
78	6.684934717
79	6.68266588
80	6.681603295
81	6.679673124
82	6.678394059
83	6.677829749
84	6.676369936
85	6.675190865
86	6.674967923
87	6.674390918
88	6.674304688
89	6.673676089
90	6.672769697
91	6.672481665
92	6.671704734
93	6.67168549
94	6.670337459
95	6.669185936
96	6.667243415
97	6.666673188
98	6.666648352
99	6.666237552
100	6.665548162
101	6.665446384
102	6.665296721
103	6.664615036
104	6.664164448
105	6.664018095
106	6.663251039
107	6.662537079
108	6.661784806
109	6.661587735
110	6.660483342
111	6.659985191
112	6.65969021
113	6.659264765
114	6.659006243
115	6.658691827
116	6.658431006
117	6.658339524
118	6.657760463
119	6.657207724
120	6.656664333
121	6.656475131
122	6.656406806
123	6.656167843
124	6.656148092
125	6.656138087
126	6.655703348
127	6.655268041
128	6.653992636
129	6.653982537
130	6.653481478
131	6.653454521
132	6.653263589
133	6.652852238
134	6.652831305
135	6.65242328
136	6.652131945
137	6.651901984
138	6.651410949
139	6.651410648
140	6.651410466
141	6.651309157
142	6.651203949
143	6.650907276
144	6.650760287
145	6.650293156
146	6.650293155
147	6.650129979
148	6.649844301
149	6.649630223
150	6.649577291
151	6.649219182
152	6.648807071
153	6.648523375
154	6.648362511
155	6.648258712
156	6.647761757
157	6.647504284
158	6.647500479
159	6.647421886
160	6.647269712
161	6.646941875
162	6.646715466
163	6.646660905
164	6.646660905
165	6.645960424
166	6.64586173
167	6.645861615
168	6.645349818
169	6.645312454
170	6.645151156
171	6.644994623
172	6.644969009
173	6.644713599
174	6.644627945
175	6.644386674
176	6.644164969
177	6.643982667
178	6.643813424
179	6.6436906
180	6.643669413
181	6.643222253
182	6.643131515
183	6.6428119
184	6.642768753
185	6.642445017
186	6.642299563
187	6.642241777
188	6.64188217
189	6.641648971
190	6.641553135
191	6.640912609
192	6.640870254
193	6.640864547
194	6.640633623
195	6.640474793
196	6.640441556
197	6.640381607
198	6.640245588
199	6.640191747
200	6.640040236
201	6.640039764
202	6.639652886
203	6.639542046
204	6.639469356
205	6.639200145
206	6.638782827
207	6.638495471
208	6.638440598
209	6.638416825
210	6.638081987
211	6.63798807
212	6.637892037
213	6.637881983
214	6.637481103
215	6.637288724
216	6.637286994
217	6.637040445
218	6.636619704
219	6.636243429
220	6.635776724
221	6.635771
222	6.635695238
223	6.63567934
224	6.635551029
225	6.63540681
226	6.635400767
227	6.635203462
228	6.635098394
229	6.634811362
230	6.634472392
231	6.634376132
232	6.634376073
233	6.633895277
234	6.633881806
235	6.633879914
236	6.633256074
237	6.633229124
238	6.633135887
239	6.633118938
240	6.632764828
241	6.632628713
242	6.632453117
243	6.632391978
244	6.632225109
245	6.632207175
246	6.632131483
247	6.632104971
248	6.63195549
249	6.631666515
250	6.631618866
251	6.631509892
252	6.631215537
253	6.631193052
254	6.631137098
255	6.630687882
256	6.630617485
257	6.63036917
258	6.630224803
259	6.630210254
260	6.629930191
261	6.629759799
262	6.629738695
263	6.629556796
264	6.629079898
265	6.628717757
266	6.62819929
267	6.628133586
268	6.628072893
269	6.627974243
270	6.627837951
271	6.627392185
272	6.627292687
273	6.627277905
274	6.627272918
275	6.626794915
276	6.626682667
277	6.626671954
278	6.626649434
279	6.626580009
280	6.626562255
281	6.626201226
282	6.626179999
283	6.626077365
284	6.625943849
285	6.625723507
286	6.625449953
287	6.625323321
288	6.624959307
289	6.624720455
290	6.624076058
291	6.623720655
292	6.623528477
293	6.623436595
294	6.623379333
295	6.623309321
296	6.623006157
297	6.622989631
298	6.622853694
299	6.622568878
300	6.62252488
301	6.622115721
302	6.621844013
303	6.621573202
304	6.621417105
305	6.621013672
306	6.620699786
307	6.620660864
308	6.620293919
309	6.620208316
310	6.620047668
311	6.619905824
312	6.619851652
313	6.619573628
314	6.619335458
315	6.619160206
316	6.619148746
317	6.618923222
318	6.618783873
319	6.618464837
320	6.618251741
321	6.618085491
322	6.617762343
323	6.617744534
324	6.617364046
325	6.617269544
326	6.617132902
327	6.616964972
328	6.616948305
329	6.61644526
330	6.616391166
331	6.61623865
332	6.616137371
333	6.616044892
334	6.615964781
335	6.615767028
336	6.615669551
337	6.615417545
338	6.615287456
339	6.615246908
340	6.615045509
341	6.61502143
342	6.614647147
343	6.614444096
344	6.614197659
345	6.614171625
346	6.614068077
347	6.61394247
348	6.613630319
349	6.613483843
350	6.613118747
351	6.613031457
352	6.612889898
353	6.612658775
354	6.612499658
355	6.612462622
356	6.612451513
357	6.612233741
358	6.612062477
359	6.612056029
360	6.612034816
361	6.611942501
362	6.611929626
363	6.611780754
364	6.61167472
365	6.611393813
366	6.611296024
367	6.611290198
368	6.611241507
369	6.611106224
370	6.611098395
371	6.61106485
372	6.61105278
373	6.610843641
374	6.610557343
375	6.610487226
376	6.610456145
377	6.610413436
378	6.610267302
379	6.610258444
380	6.610255305
381	6.610171292
382	6.609973441
383	6.609866231
384	6.60974878
385	6.609632539
386	6.60944594
387	6.609285677
388	6.609274129
389	6.609074888
390	6.60879117
391	6.608486025
392	6.608396377
393	6.608373861
394	6.60836542
395	6.608185422
396	6.60790142
397	6.6078012
398	6.607635085
399	6.607533173
400	6.607477716
401	6.607236404
402	6.607163425
403	6.60707907
404	6.606771917
405	6.606509898
406	6.606442793
407	6.606434369
408	6.606419732
409	6.606330556
410	6.606118482
411	6.605858601
412	6.605786182
413	6.605775982
414	6.605724316
415	6.605687972
416	6.60568047
417	6.605555334
418	6.60555373
419	6.60542703
420	6.60525432
421	6.605182875
422	6.604786338
423	6.604578505
424	6.604443475
425	6.604433487
426	6.604414647
427	6.604271903
428	6.604211078
429	6.60412985
430	6.604033811
431	6.603941657
432	6.603915731
433	6.603806667
434	6.603632387
435	6.603572295
436	6.603563407
437	6.60335356
438	6.603162337
439	6.603023521
440	6.602602239
441	6.602474999
442	6.602419425
443	6.602254764
444	6.602214118
445	6.602150952
446	6.601944389
447	6.601779497
448	6.60173911
449	6.601391745
450	6.60122545
451	6.601152007
452	6.600984267
453	6.600791693
454	6.600674727
455	6.600645373
456	6.600606685
457	6.600494309
458	6.600346394
459	6.6002977
460	6.60029077
461	6.600183031
462	6.599971568
463	6.599840879
464	6.599835908
465	6.599410633
466	6.599240148
467	6.599209784
468	6.599105364
469	6.599012942
470	6.598953436
471	6.598796116
472	6.598526383
473	6.598379378
474	6.598268666
475	6.59802193
476	6.59795497
477	6.597708995
478	6.597654439
479	6.597583318
480	6.597504149
481	6.597466217
482	6.59734026
483	6.597325275
484	6.597133446
485	6.597113753
486	6.596979414
487	6.596844068
488	6.596620115
489	6.596574424
490	6.596496677
491	6.59618703
492	6.596038424
493	6.595931914
494	6.595778814
495	6.595766188
496	6.595514439
497	6.595446778
498	6.595305332
499	6.595178151
500	6.595167654
501	6.595145489
502	6.595075275
503	6.594919232
504	6.594793095
505	6.594772553
506	6.594498617
507	6.594327362
508	6.594277282
509	6.594160693
510	6.594042744
511	6.5938389
512	6.593698127
513	6.593623462
514	6.593605493
515	6.593580627
516	6.593456076
517	6.593400834
518	6.593309762
519	6.593275735
520	6.593098584
521	6.593067596
522	6.592905885
523	6.59288074
524	6.592864944
525	6.592674347
526	6.592614267
527	6.592598829
528	6.592457518
529	6.592437643
530	6.592413228
531	6.592307437
532	6.592147457
533	6.592134029
534	6.592071839
535	6.591992291
536	6.591988596
537	6.591827346
538	6.591748574
539	6.591578143
540	6.591484235
541	6.59140835
542	6.591403368
543	6.591323412
544	6.591207547
545	6.591056389
546	6.590978421
547	6.59084145
548	6.590692862
549	6.590679329
550	6.590677592
551	6.590505895
552	6.59039543
553	6.590264863
