iter	Passed	Remaining
0	167	83711
1	188	47023
2	212	35245
3	236	29354
4	248	24633
5	268	22091
6	292	20630
7	318	19564
8	342	18680
9	366	17951
10	392	17462
11	416	16952
12	441	16535
13	467	16222
14	493	15959
15	519	15725
16	544	15476
17	570	15278
18	607	15382
19	628	15084
20	655	14941
21	679	14760
22	703	14597
23	728	14439
24	752	14302
25	779	14215
26	804	14094
27	829	13982
28	854	13876
29	879	13773
30	904	13684
31	930	13612
32	956	13535
33	985	13513
34	1020	13563
35	1045	13479
36	1069	13387
37	1094	13312
38	1119	13233
39	1147	13197
40	1173	13133
41	1197	13062
42	1221	12984
43	1245	12907
44	1269	12833
45	1293	12766
46	1318	12707
47	1342	12640
48	1366	12577
49	1390	12513
50	1410	12422
51	1435	12364
52	1459	12306
53	1482	12245
54	1506	12187
55	1529	12130
56	1553	12075
57	1578	12026
58	1603	11985
59	1624	11914
60	1649	11873
61	1676	11843
62	1703	11813
63	1729	11781
64	1751	11724
65	1764	11600
66	1780	11509
67	1801	11442
68	1826	11408
69	1847	11349
70	1872	11313
71	1889	11230
72	1905	11143
73	1929	11106
74	1946	11029
75	1971	10996
76	1996	10965
77	2012	10890
78	2037	10856
79	2061	10825
80	2086	10795
81	2112	10767
82	2140	10755
83	2169	10743
84	2194	10714
85	2211	10643
86	2235	10610
87	2259	10579
88	2285	10553
89	2305	10503
90	2330	10473
91	2355	10447
92	2381	10422
93	2407	10400
94	2433	10373
95	2460	10352
96	2485	10327
97	2511	10301
98	2537	10277
99	2557	10230
100	2582	10202
101	2607	10173
102	2632	10145
103	2656	10114
104	2681	10087
105	2706	10059
106	2731	10032
107	2758	10012
108	2784	9988
109	2813	9976
110	2842	9961
111	2868	9939
112	2895	9914
113	2921	9891
114	2945	9862
115	2970	9833
116	2994	9803
117	3018	9771
118	3043	9743
119	3069	9718
120	3093	9689
121	3121	9672
122	3146	9645
123	3172	9618
124	3198	9595
125	3222	9565
126	3247	9537
127	3271	9507
128	3297	9483
129	3321	9453
130	3345	9423
131	3369	9395
132	3394	9366
133	3418	9337
134	3444	9313
135	3468	9283
136	3492	9254
137	3517	9226
138	3542	9200
139	3566	9170
140	3590	9141
141	3614	9113
142	3640	9089
143	3665	9063
144	3690	9036
145	3720	9021
146	3750	9005
147	3777	8984
148	3801	8956
149	3826	8929
150	3851	8902
151	3876	8874
152	3901	8849
153	3925	8819
154	3950	8792
155	3973	8762
156	3998	8735
157	4023	8708
158	4047	8679
159	4075	8660
160	4135	8706
161	4167	8695
162	4196	8676
163	4221	8648
164	4246	8622
165	4270	8592
166	4294	8562
167	4318	8533
168	4342	8505
169	4366	8476
170	4390	8448
171	4415	8419
172	4440	8392
173	4465	8366
174	4489	8338
175	4515	8311
176	4539	8284
177	4564	8256
178	4588	8227
179	4616	8207
180	4643	8183
181	4667	8155
182	4692	8128
183	4717	8101
184	4742	8074
185	4766	8046
186	4790	8018
187	4813	7988
188	4838	7961
189	4862	7933
190	4886	7905
191	4911	7878
192	4936	7853
193	4961	7826
194	4986	7799
195	5012	7774
196	5037	7747
197	5061	7720
198	5086	7693
199	5112	7668
200	5136	7640
201	5160	7613
202	5184	7584
203	5208	7556
204	5232	7529
205	5255	7500
206	5290	7488
207	5324	7475
208	5350	7449
209	5375	7422
210	5398	7394
211	5424	7368
212	5451	7345
213	5477	7320
214	5504	7296
215	5534	7276
216	5565	7258
217	5597	7240
218	5627	7220
219	5656	7199
220	5684	7176
221	5713	7154
222	5742	7132
223	5771	7110
224	5800	7090
225	5830	7068
226	5859	7047
227	5890	7027
228	5915	7000
229	5941	6975
230	5969	6951
231	5995	6925
232	6019	6897
233	6042	6868
234	6066	6840
235	6091	6813
236	6122	6793
237	6153	6774
238	6179	6747
239	6215	6733
240	6254	6721
241	6287	6703
242	6319	6683
243	6342	6654
244	6366	6626
245	6390	6598
246	6415	6571
247	6439	6543
248	6467	6519
249	6490	6490
250	6514	6462
251	6539	6435
252	6573	6417
253	6617	6409
254	6656	6395
255	6696	6382
256	6734	6367
257	6776	6355
258	6812	6338
259	6848	6321
260	6876	6296
261	6903	6270
262	6929	6244
263	6957	6219
264	6986	6195
265	7029	6184
266	7069	6168
267	7103	6148
268	7137	6128
269	7167	6105
270	7201	6085
271	7234	6064
272	7261	6038
273	7287	6010
274	7312	5982
275	7338	5955
276	7365	5929
277	7393	5903
278	7420	5877
279	7445	5850
280	7470	5822
281	7494	5793
282	7517	5764
283	7541	5735
284	7565	5707
285	7588	5678
286	7612	5649
287	7636	5621
288	7660	5592
289	7684	5564
290	7706	5535
291	7730	5506
292	7753	5478
293	7776	5449
294	7800	5420
295	7824	5392
296	7847	5364
297	7871	5335
298	7895	5307
299	7919	5279
300	7943	5251
301	7967	5223
302	7990	5195
303	8014	5167
304	8038	5139
305	8062	5111
306	8086	5083
307	8113	5057
308	8137	5030
309	8163	5003
310	8188	4976
311	8213	4949
312	8238	4921
313	8261	4893
314	8286	4866
315	8310	4838
316	8334	4811
317	8359	4784
318	8384	4757
319	8409	4730
320	8434	4703
321	8458	4675
322	8482	4648
323	8505	4620
324	8529	4592
325	8552	4564
326	8576	4537
327	8600	4509
328	8624	4482
329	8649	4455
330	8674	4429
331	8699	4401
332	8723	4374
333	8748	4347
334	8771	4320
335	8795	4292
336	8819	4265
337	8843	4238
338	8867	4211
339	8892	4184
340	8915	4157
341	8939	4130
342	8964	4103
343	8989	4076
344	9013	4049
345	9036	4021
346	9059	3994
347	9086	3968
348	9110	3941
349	9134	3914
350	9158	3887
351	9181	3860
352	9205	3833
353	9228	3806
354	9251	3778
355	9275	3751
356	9299	3724
357	9322	3697
358	9346	3670
359	9369	3643
360	9393	3616
361	9416	3589
362	9439	3562
363	9464	3536
364	9487	3509
365	9511	3482
366	9535	3455
367	9558	3428
368	9582	3401
369	9606	3375
370	9630	3348
371	9653	3321
372	9678	3295
373	9701	3268
374	9725	3241
375	9749	3215
376	9774	3188
377	9798	3162
378	9822	3135
379	9846	3109
380	9870	3082
381	9895	3056
382	9919	3030
383	9942	3003
384	9972	2978
385	9996	2952
386	10021	2926
387	10044	2899
388	10069	2873
389	10095	2847
390	10118	2820
391	10142	2794
392	10166	2767
393	10190	2741
394	10216	2715
395	10240	2689
396	10264	2663
397	10288	2636
398	10311	2610
399	10335	2583
400	10359	2557
401	10383	2531
402	10406	2504
403	10430	2478
404	10454	2452
405	10478	2426
406	10503	2400
407	10527	2373
408	10550	2347
409	10566	2319
410	10591	2293
411	10616	2267
412	10642	2241
413	10665	2215
414	10689	2189
415	10712	2163
416	10736	2136
417	10759	2110
418	10783	2084
419	10807	2058
420	10832	2032
421	10857	2006
422	10881	1980
423	10904	1954
424	10928	1928
425	10952	1902
426	10976	1876
427	11002	1850
428	11026	1824
429	11051	1799
430	11088	1775
431	11113	1749
432	11136	1723
433	11159	1697
434	11182	1670
435	11205	1644
436	11229	1618
437	11253	1592
438	11277	1567
439	11300	1541
440	11324	1515
441	11348	1489
442	11372	1463
443	11396	1437
444	11420	1411
445	11445	1385
446	11469	1359
447	11494	1334
448	11519	1308
449	11543	1282
450	11567	1256
451	11591	1230
452	11615	1205
453	11640	1179
454	11663	1153
455	11687	1127
456	11711	1101
457	11735	1076
458	11759	1050
459	11783	1024
460	11806	998
461	11830	973
462	11855	947
463	11879	921
464	11903	895
465	11927	870
466	11950	844
467	11974	818
468	11998	793
469	12023	767
470	12048	741
471	12076	716
472	12101	690
473	12125	665
474	12149	639
475	12175	613
476	12199	588
477	12223	562
478	12247	536
479	12271	511
480	12296	485
481	12321	460
482	12345	434
483	12368	408
484	12392	383
485	12416	357
486	12440	332
487	12463	306
488	12487	280
489	12512	255
490	12537	229
491	12561	204
492	12586	178
493	12611	153
494	12636	127
495	12660	102
496	12684	76
497	12709	51
498	12735	25
499	12760	0
